type,properties.generic.name
DrugBank,Acetylsalicylic acid
DrugBank,Acyclovir
DrugBank,Allopurinol
DrugBank,Aminohippuric acid
DrugBank,Apalutamide
DrugBank,Artesunate
DrugBank,Aspartame
DrugBank,Ataluren
DrugBank,Avatrombopag
DrugBank,Avibactam
DrugBank,Baricitinib
DrugBank,Benzoic acid
DrugBank,Benzylpenicillin
DrugBank,Betamethasone phosphate
DrugBank,Budesonide
DrugBank,Bumetanide
DrugBank,Cabotegravir
DrugBank,Caprylic acid
DrugBank,Cefacetrile
DrugBank,Cefaclor
DrugBank,Cefadroxil
DrugBank,Cefaloridine
DrugBank,Cefalotin
DrugBank,Cefamandole
DrugBank,Cefazolin
DrugBank,Cefdinir
DrugBank,Cefoperazone
DrugBank,Cefotaxime
DrugBank,Cefotiam
DrugBank,Ceftibuten
DrugBank,Ceftizoxime
DrugBank,Ceftriaxone
DrugBank,Cephalexin
DrugBank,Cholic Acid
DrugBank,Cilastatin
DrugBank,Cimetidine
DrugBank,Conjugated estrogens
DrugBank,Cyclic adenosine monophosphate
DrugBank,Dabrafenib
DrugBank,Degraded Cephaloridine
DrugBank,Dexamethasone
DrugBank,Dexamethasone acetate
DrugBank,Dexibuprofen
DrugBank,Diclofenac
DrugBank,Dinoprost tromethamine
DrugBank,Dinoprostone
DrugBank,Dolutegravir
DrugBank,Doripenem
DrugBank,Dronedarone
DrugBank,Edaravone
DrugBank,Eluxadoline
DrugBank,Empagliflozin
DrugBank,Enalapril
DrugBank,Enasidenib
DrugBank,Esomeprazole
DrugBank,Estradiol
DrugBank,Estradiol acetate
DrugBank,Estradiol benzoate
DrugBank,Estradiol cypionate
DrugBank,Estradiol dienanthate
DrugBank,Estradiol valerate
DrugBank,Estrone
DrugBank,Famotidine
DrugBank,Favipiravir
DrugBank,Fexofenadine
DrugBank,Furosemide
DrugBank,Ganciclovir
DrugBank,Gemfibrozil
DrugBank,Glutaric Acid
DrugBank,Guanidine
DrugBank,Hydrochlorothiazide
DrugBank,Hydrocortisone
DrugBank,Hydrocortisone aceponate
DrugBank,Hydrocortisone acetate
DrugBank,Hydrocortisone butyrate
DrugBank,Hydrocortisone cypionate
DrugBank,Hydrocortisone phosphate
DrugBank,Hydrocortisone probutate
DrugBank,Hydrocortisone valerate
DrugBank,Hydroflumethiazide
DrugBank,Ibuprofen
DrugBank,Indomethacin
DrugBank,Ivosidenib
DrugBank,Ketoprofen
DrugBank,Lansoprazole
DrugBank,Latanoprost
DrugBank,Lenvatinib
DrugBank,Letermovir
DrugBank,Leucovorin
DrugBank,Levocarnitine
DrugBank,Liothyronine
DrugBank,Liotrix
DrugBank,Medrysone
DrugBank,Melatonin
DrugBank,Mercaptopurine
DrugBank,Methotrexate
DrugBank,Methyltestosterone
DrugBank,Naproxen
DrugBank,Novobiocin
DrugBank,Oseltamivir
DrugBank,Osilodrostat
DrugBank,Ouabain
DrugBank,Oxalic Acid
DrugBank,Oxytetracycline
DrugBank,Pantoprazole
DrugBank,Pemetrexed
DrugBank,Phenylbutazone
DrugBank,Piperacillin
DrugBank,Piroxicam
DrugBank,Polythiazide
DrugBank,Pradigastat
DrugBank,Prasterone sulfate
DrugBank,Pravastatin
DrugBank,Prednisolone phosphate
DrugBank,Pretomanid
DrugBank,Probenecid
DrugBank,Quinapril
DrugBank,Quinidine
DrugBank,Ranitidine
DrugBank,Relebactam
DrugBank,Rifampicin
DrugBank,Rimegepant
DrugBank,Rosuvastatin
DrugBank,Rucaparib
DrugBank,Salicylic acid
DrugBank,Saxagliptin
DrugBank,Sitagliptin
DrugBank,Succinic acid
DrugBank,Tafamidis
DrugBank,Taurocholic acid
DrugBank,Tazobactam
DrugBank,Tenofovir
DrugBank,Tenofovir alafenamide
DrugBank,Tenofovir disoproxil
DrugBank,Tenoxicam
DrugBank,Testosterone
DrugBank,Testosterone cypionate
DrugBank,Testosterone enanthate
DrugBank,Testosterone undecanoate
DrugBank,Tetracycline
DrugBank,Tetraethylammonium
DrugBank,Topiroxostat
DrugBank,trans-2-hydroxycinnamic acid
DrugBank,Uric acid
DrugBank,Valaciclovir
DrugBank,Valproic acid
DrugBank,Zidovudine
