type,properties.generic.name
DrugBank,Acetylcholine
DrugBank,Acyclovir
DrugBank,Agmatine
DrugBank,Amantadine
DrugBank,Brigatinib
DrugBank,Buformin
DrugBank,Caspofungin
DrugBank,Chlorpheniramine
DrugBank,Choline
DrugBank,Choline salicylate
DrugBank,Cimetidine
DrugBank,Clopidogrel
DrugBank,Codeine
DrugBank,Dacomitinib
DrugBank,Desipramine
DrugBank,Dexchlorpheniramine maleate
DrugBank,Disopyramide
DrugBank,Dopamine
DrugBank,Doxazosin
DrugBank,Dronedarone
DrugBank,Efavirenz
DrugBank,Epinephrine
DrugBank,Estradiol acetate
DrugBank,Estradiol benzoate
DrugBank,Estradiol cypionate
DrugBank,Estradiol dienanthate
DrugBank,Estradiol valerate
DrugBank,Formoterol
DrugBank,Ganciclovir
DrugBank,Gentian violet cation
DrugBank,Gilteritinib
DrugBank,Guanfacine
DrugBank,Guanidine
DrugBank,Histamine
DrugBank,Imatinib
DrugBank,Indinavir
DrugBank,Lamivudine
DrugBank,Lamotrigine
DrugBank,Lansoprazole
DrugBank,Lasmiditan
DrugBank,Levofloxacin
DrugBank,Linagliptin
DrugBank,Lurbinectedin
DrugBank,Metformin
DrugBank,Nafamostat
DrugBank,Nelfinavir
DrugBank,Nevirapine
DrugBank,Nicotine
DrugBank,Nintedanib
DrugBank,Norepinephrine
DrugBank,Osilodrostat
DrugBank,Palbociclib
DrugBank,Pancuronium
DrugBank,Phenformin
DrugBank,Phenoxybenzamine
DrugBank,Pipotiazine
DrugBank,Pitolisant
DrugBank,Pramipexole
DrugBank,Prazosin
DrugBank,Probenecid
DrugBank,Procainamide
DrugBank,Progesterone
DrugBank,Quinidine
DrugBank,Quinine
DrugBank,Ranitidine
DrugBank,Reserpine
DrugBank,Rocuronium
DrugBank,Rucaparib
DrugBank,Salmeterol
DrugBank,Saquinavir
DrugBank,Spermidine
DrugBank,Spermine
DrugBank,Tetraethylammonium
DrugBank,Thiamine
DrugBank,Thiothixene
DrugBank,Tirbanibulin
DrugBank,Tubocurarine
DrugBank,Verapamil
