type,properties.generic.name
DrugBank,Aminohippuric acid
DrugBank,Aspartame
DrugBank,Benzylpenicillin
DrugBank,Bumetanide
DrugBank,Caprylic acid
DrugBank,Cefalotin
DrugBank,Cefamandole
DrugBank,Cefazolin
DrugBank,Cefoperazone
DrugBank,Cefotaxime
DrugBank,Ceftriaxone
DrugBank,Cimetidine
DrugBank,Conjugated estrogens
DrugBank,Degraded Cephaloridine
DrugBank,Dexibuprofen
DrugBank,Diclofenac
DrugBank,Dinoprost tromethamine
DrugBank,Dinoprostone
DrugBank,Ellagic acid
DrugBank,Estradiol
DrugBank,Estradiol acetate
DrugBank,Estradiol benzoate
DrugBank,Estradiol cypionate
DrugBank,Estradiol dienanthate
DrugBank,Estradiol valerate
DrugBank,Furosemide
DrugBank,Glutaric Acid
DrugBank,Hydrochlorothiazide
DrugBank,Ibuprofen
DrugBank,Indomethacin
DrugBank,Ketoprofen
DrugBank,Lesinurad
DrugBank,Levocetirizine
DrugBank,Methotrexate
DrugBank,Novobiocin
DrugBank,Oxytetracycline
DrugBank,Phenylbutazone
DrugBank,Piroxicam
DrugBank,Pravastatin
DrugBank,Probenecid
DrugBank,Relebactam
DrugBank,Salicylic acid
DrugBank,Tetracycline
DrugBank,Zidovudine
