type,properties.generic.name
DrugBank,Acetazolamide
DrugBank,Acetylcysteine
DrugBank,Acetylsalicylic acid
DrugBank,Acyclovir
DrugBank,Adefovir dipivoxil
DrugBank,Alprostadil
DrugBank,Aminohippuric acid
DrugBank,Aminophenazone
DrugBank,Amoxicillin
DrugBank,Antipyrine
DrugBank,Aspartame
DrugBank,Ataluren
DrugBank,Baricitinib
DrugBank,Benzylpenicillin
DrugBank,Bromodiphenhydramine
DrugBank,Bumetanide
DrugBank,Cabotegravir
DrugBank,Caprylic acid
DrugBank,Captopril
DrugBank,Carbenicillin
DrugBank,Carprofen
DrugBank,Caspofungin
DrugBank,Cefacetrile
DrugBank,Cefadroxil
DrugBank,Cefaloridine
DrugBank,Cefalotin
DrugBank,Cefamandole
DrugBank,Cefazolin
DrugBank,Cefdinir
DrugBank,Cefoperazone
DrugBank,Cefotaxime
DrugBank,Cefotiam
DrugBank,Cefradine
DrugBank,Ceftazidime
DrugBank,Ceftibuten
DrugBank,Ceftizoxime
DrugBank,Ceftriaxone
DrugBank,Cephalexin
DrugBank,Chloramphenicol
DrugBank,Chlorothiazide
DrugBank,Chlorpropamide
DrugBank,Cidofovir
DrugBank,Cilastatin
DrugBank,Cimetidine
DrugBank,Cinoxacin
DrugBank,Citrulline
DrugBank,Cloxacillin
DrugBank,Conjugated estrogens
DrugBank,Cyclic adenosine monophosphate
DrugBank,Cyclic GMP
DrugBank,Cyclosporine
DrugBank,Cyclothiazide
DrugBank,Dabrafenib
DrugBank,Degraded Cephaloridine
DrugBank,Dexibuprofen
DrugBank,Diclofenac
DrugBank,Didanosine
DrugBank,Diflunisal
DrugBank,Dinoprost tromethamine
DrugBank,Dinoprostone
DrugBank,Dolutegravir
DrugBank,Doxycycline
DrugBank,Edaravone
DrugBank,Ellagic acid
DrugBank,Enalapril
DrugBank,Enasidenib
DrugBank,Etacrynic acid
DrugBank,Ethoxzolamide
DrugBank,Etodolac
DrugBank,Famotidine
DrugBank,Favipiravir
DrugBank,Flufenamic acid
DrugBank,Fluorescein
DrugBank,Flurbiprofen
DrugBank,Folic acid
DrugBank,Foscarnet
DrugBank,Furosemide
DrugBank,Ganciclovir
DrugBank,Gentamicin
DrugBank,Glutaric Acid
DrugBank,Glyburide
DrugBank,Grepafloxacin
DrugBank,GS 0573
DrugBank,Hydrochlorothiazide
DrugBank,Hydroflumethiazide
DrugBank,Ibuprofen
DrugBank,Indomethacin
DrugBank,Istradefylline
DrugBank,Ketoprofen
DrugBank,Lamivudine
DrugBank,Latanoprost
DrugBank,Lenvatinib
DrugBank,Losartan
DrugBank,Meclofenamic acid
DrugBank,Methazolamide
DrugBank,Methotrexate
DrugBank,Minocycline
DrugBank,Nafcillin
DrugBank,Nalidixic acid
DrugBank,Naproxen
DrugBank,Nateglinide
DrugBank,Norfloxacin
DrugBank,Novobiocin
DrugBank,Ofloxacin
DrugBank,Osilodrostat
DrugBank,Oxyphenbutazone
DrugBank,Oxytetracycline
DrugBank,Phenacetin
DrugBank,Phenylbutazone
DrugBank,Piperacillin
DrugBank,Piroxicam
DrugBank,Polythiazide
DrugBank,Pralsetinib
DrugBank,Pravastatin
DrugBank,Probenecid
DrugBank,Riboflavin
DrugBank,Rifampicin
DrugBank,Rucaparib
DrugBank,Salicylic acid
DrugBank,Silibinin
DrugBank,Stavudine
DrugBank,Streptomycin
DrugBank,Sulindac
DrugBank,Tafamidis
DrugBank,Taurocholic acid
DrugBank,Tazobactam
DrugBank,Tenofovir
DrugBank,Tenofovir alafenamide
DrugBank,Tenofovir disoproxil
DrugBank,Tetracycline
DrugBank,Tolbutamide
DrugBank,Tolmetin
DrugBank,Topiroxostat
DrugBank,Trifluridine
DrugBank,Ubrogepant
DrugBank,Uric acid
DrugBank,Valaciclovir
DrugBank,Valproic acid
DrugBank,Zalcitabine
DrugBank,Zidovudine
