type,properties.generic.name
DrugBank,Amiloride
DrugBank,Aminohippuric acid
DrugBank,Arginine
DrugBank,Benzylpenicillin
DrugBank,Choline
DrugBank,Choline salicylate
DrugBank,Cimetidine
DrugBank,Clonidine
DrugBank,Cytarabine
DrugBank,Desipramine
DrugBank,Formoterol
DrugBank,Guanidine
DrugBank,Imipramine
DrugBank,Ipratropium
DrugBank,L-Lysine
DrugBank,Levocarnitine
DrugBank,Levofloxacin
DrugBank,Memantine
DrugBank,Mepyramine
DrugBank,Nicotine
DrugBank,Ofloxacin
DrugBank,Procainamide
DrugBank,Putrescine
DrugBank,Quinidine
DrugBank,Quinine
DrugBank,Solriamfetol
DrugBank,Spermidine
DrugBank,Spermine
DrugBank,Testosterone cypionate
DrugBank,Testosterone enanthate
DrugBank,Testosterone undecanoate
DrugBank,Tetraethylammonium
DrugBank,Tiotropium
DrugBank,Verapamil
