type,properties.generic.name
DrugBank,Adefovir dipivoxil
DrugBank,Agmatine
DrugBank,Amphetamine
DrugBank,Choline
DrugBank,Choline salicylate
DrugBank,Cimetidine
DrugBank,Clonidine
DrugBank,Desipramine
DrugBank,Dopamine
DrugBank,Estradiol
DrugBank,Estradiol acetate
DrugBank,Estradiol benzoate
DrugBank,Estradiol cypionate
DrugBank,Estradiol dienanthate
DrugBank,Estradiol valerate
DrugBank,Formoterol
DrugBank,Guanidine
DrugBank,Histamine
DrugBank,Imipramine
DrugBank,Irinotecan
DrugBank,Lamivudine
DrugBank,Lansoprazole
DrugBank,Linagliptin
DrugBank,Melphalan
DrugBank,Metamfetamine
DrugBank,Metformin
DrugBank,Nicotine
DrugBank,Norepinephrine
DrugBank,Oxaliplatin
DrugBank,Phenoxybenzamine
DrugBank,Pramipexole
DrugBank,Prazosin
DrugBank,Procainamide
DrugBank,Progesterone
DrugBank,Salmeterol
DrugBank,Testosterone cypionate
DrugBank,Testosterone enanthate
DrugBank,Tetraethylammonium
DrugBank,Tyramine
DrugBank,Vincristine
