type,properties.generic.name
DrugBank,Acetylcarnitine
DrugBank,Acetylcholine
DrugBank,Aldosterone
DrugBank,Aminohippuric acid
DrugBank,Amphetamine
DrugBank,Ampicillin
DrugBank,Arginine
DrugBank,Azidocillin
DrugBank,Benzylpenicillin
DrugBank,Cefadroxil
DrugBank,Cefalotin
DrugBank,Cefdinir
DrugBank,Cefepime
DrugBank,Cefixime
DrugBank,Cefradine
DrugBank,Ceftazidime
DrugBank,Cephalexin
DrugBank,Cephaloglycin
DrugBank,Choline
DrugBank,Choline salicylate
DrugBank,Cimetidine
DrugBank,Clonidine
DrugBank,Creatine
DrugBank,Cyclacillin
DrugBank,Dactinomycin
DrugBank,Degraded Cephaloridine
DrugBank,Desipramine
DrugBank,Diphenhydramine
DrugBank,Dopamine
DrugBank,Formoterol
DrugBank,Furosemide
DrugBank,Grepafloxacin
DrugBank,Guanidine
DrugBank,Histamine
DrugBank,Ipratropium
DrugBank,Levamlodipine
DrugBank,Levocarnitine
DrugBank,Lidocaine
DrugBank,Lomefloxacin
DrugBank,Mepyramine
DrugBank,Metamfetamine
DrugBank,Niacin
DrugBank,Nicotine
DrugBank,Norepinephrine
DrugBank,Norfloxacin
DrugBank,Ofloxacin
DrugBank,Probenecid
DrugBank,Procainamide
DrugBank,Quinidine
DrugBank,Quinine
DrugBank,Solriamfetol
DrugBank,Sparfloxacin
DrugBank,Tetraethylammonium
DrugBank,Thiamine
DrugBank,Tiotropium
DrugBank,Valproic acid
DrugBank,Verapamil
